,date,trx_id,user_id,trx_type,merchant_id,product_id,amount
0,2025-09-01,2d1d1635-2a4d-4d02-b474-51c27417c0f8,b2914eef-bf00-476f-8e00-059898e646e2,T,CA-2015-135545,OFF-PA-10003892,-861.11
1,2025-09-01,e8d4bdc9-04d4-4e73-8dee-5135f2611692,73951261-12f1-40ee-a19d-af77e3fbad4c,T,US-2016-125969,FUR-FU-10003773,-809.13
2,2025-09-01,ca5305ae-3a19-4695-994e-865b7a7f2dcb,714c0f29-f6e6-445c-879f-ce47a06164ef,T,CA-2017-102946,OFF-BI-10004492,-616.24
3,2025-09-01,9800c9d6-8a94-462a-b4b8-e6b53b129746,8bd41889-c496-49c8-9d47-6b408be91d48,T,US-2015-159982,TEC-PH-10001580,-843.68
4,2025-09-01,74351e35-11c0-4140-9e39-336027a38f38,0641d923-7388-4d83-810d-1dbc543e7011,T,CA-2014-139892,OFF-AP-10002518,-453.79
5,2025-09-01,04a209f6-b34d-4212-8226-5208dbfdf03b,424d326b-1f07-497c-9060-3c0a7b44596b,T,US-2016-105578,OFF-BI-10001670,-969.87
6,2025-09-01,bcb9f2e7-3224-418e-9731-309791162f88,9fba6f28-3eef-4704-a0e4-d558359fb496,T,US-2014-134614,FUR-TA-10004534,-189.25
7,2025-09-01,2c0ce2b8-b682-4b23-ab36-cfd43aa63602,a490c3d3-637b-41b3-a46b-128185d4ec7a,T,US-2014-135972,TEC-CO-10002313,-615.72
8,2025-09-01,84297641-930f-4de0-839d-22b683c5f451,a40caa8f-37ad-40cb-80f7-fb95573d0667,D,,,595.55
9,2025-09-01,c0de5bf3-6732-4903-9b04-7fd94429156b,4fb0ed60-50f6-49bc-9ba6-0927a1cde829,T,CA-2017-146780,FUR-FU-10001934,-638.95
10,2025-09-01,cc0a504c-d802-47b6-9462-60dca024ac74,f7dfbed5-f673-456d-8f18-8f0ae4c92648,W,,,-647.39
11,2025-09-01,21a2e610-c37a-41bb-a872-978ea5716ac8,51e0fa85-446e-4737-9948-be98fee6c786,T,CA-2016-142902,FUR-FU-10001756,-320.2
12,2025-09-01,003efa16-1b2e-491c-a664-79fdffc55590,b0ddf2b5-844b-4c85-852c-8068f02c9809,T,CA-2016-158568,TEC-AC-10001767,-106.24
13,2025-09-01,6f2b0648-7b0c-41d7-8e6a-572b8338e971,7f0e5e22-626d-4d92-9bc0-4b3e83539079,T,US-2017-118038,OFF-BI-10004182,-630.42
14,2025-09-01,525543b2-bdda-4640-8ba8-68f730f203ee,cc4fcc09-da1d-464b-94ac-2dabbf5642d4,T,CA-2016-147375,TEC-MA-10002937,-256.56
15,2025-09-01,d5a68f79-e289-45d6-802d-e0f1475bc93e,571e3c93-d639-4a82-aaad-e8096201e514,T,CA-2015-117415,OFF-EN-10002986,-157.34
16,2025-09-01,07666c97-3fc8-4364-8360-0a9df6964ca1,0c136ffc-d83e-440b-ba6c-3fd2453a1057,W,,,-565.4
17,2025-09-01,caccdb3a-a280-41e2-8883-3031819d0052,b0ef70c1-7ddd-473a-8310-e25112017445,T,US-2015-134026,FUR-FU-10003708,-534.97
18,2025-09-01,731a7fd4-adb9-41a4-9285-b4e09c57a85c,4d10feb8-fe34-402e-95cc-80937a1cbc80,T,CA-2016-146941,OFF-ST-10001228,-407.5
19,2025-09-01,7013bb6d-907e-48d5-a231-4551d301f1bf,2361ed93-18d1-4996-b8de-45bc0e39c07e,T,CA-2014-155208,OFF-AR-10003478,-832.47
20,2025-09-01,1528f106-c454-42e9-8d2d-af52f3bfcdb9,b3d53497-83e2-4df0-8547-9d6e75de0e97,T,CA-2017-117457,OFF-PA-10002893,-649.51
